WEEKS,FAULT,FAULT-CUMU,P(FAULT),P(FAULT-CUMU),UNCORRECTABLE,UNCORRECTABLE-CUMU,P(UNCORRECTABLE),P(UNCORRECTABLE-CUMU),UNDETERCTABLE,UNDETECTABLE-CUMU,P(UNDETECTABLE),P(UNDETECTABLE-CUMU)
0,3,3,0.000030,0.000030,3,3,0.000030,0.000030,0,0,0.000000,0.000000
12,1,4,0.000010,0.000040,1,4,0.000010,0.000040,0,0,0.000000,0.000000
24,2,6,0.000020,0.000060,2,6,0.000020,0.000060,0,0,0.000000,0.000000
36,1,7,0.000010,0.000070,1,7,0.000010,0.000070,0,0,0.000000,0.000000
48,2,9,0.000020,0.000090,2,9,0.000020,0.000090,0,0,0.000000,0.000000
60,3,12,0.000030,0.000120,3,12,0.000030,0.000120,0,0,0.000000,0.000000
72,4,16,0.000040,0.000160,4,16,0.000040,0.000160,0,0,0.000000,0.000000
84,2,18,0.000020,0.000180,2,18,0.000020,0.000180,0,0,0.000000,0.000000
96,1,19,0.000010,0.000190,1,19,0.000010,0.000190,0,0,0.000000,0.000000
108,6,25,0.000060,0.000250,6,25,0.000060,0.000250,0,0,0.000000,0.000000
120,2,27,0.000020,0.000270,2,27,0.000020,0.000270,0,0,0.000000,0.000000
132,2,29,0.000020,0.000290,2,29,0.000020,0.000290,0,0,0.000000,0.000000
144,2,31,0.000020,0.000310,2,31,0.000020,0.000310,0,0,0.000000,0.000000
156,1,32,0.000010,0.000320,1,32,0.000010,0.000320,0,0,0.000000,0.000000
168,0,32,0.000000,0.000320,0,32,0.000000,0.000320,0,0,0.000000,0.000000
180,2,34,0.000020,0.000340,2,34,0.000020,0.000340,0,0,0.000000,0.000000
192,3,37,0.000030,0.000370,3,37,0.000030,0.000370,0,0,0.000000,0.000000
204,0,37,0.000000,0.000370,0,37,0.000000,0.000370,0,0,0.000000,0.000000
216,2,39,0.000020,0.000390,2,39,0.000020,0.000390,1,1,0.000010,0.000010
228,1,40,0.000010,0.000400,1,40,0.000010,0.000400,0,1,0.000000,0.000010
240,2,42,0.000020,0.000420,2,42,0.000020,0.000420,0,1,0.000000,0.000010
252,1,43,0.000010,0.000430,1,43,0.000010,0.000430,0,1,0.000000,0.000010
264,0,43,0.000000,0.000430,0,43,0.000000,0.000430,0,1,0.000000,0.000010
276,0,43,0.000000,0.000430,0,43,0.000000,0.000430,0,1,0.000000,0.000010
288,3,46,0.000030,0.000460,3,46,0.000030,0.000460,0,1,0.000000,0.000010
300,0,46,0.000000,0.000460,0,46,0.000000,0.000460,0,1,0.000000,0.000010
312,0,46,0.000000,0.000460,0,46,0.000000,0.000460,0,1,0.000000,0.000010
324,0,46,0.000000,0.000460,0,46,0.000000,0.000460,0,1,0.000000,0.000010
336,0,46,0.000000,0.000460,0,46,0.000000,0.000460,0,1,0.000000,0.000010
348,0,46,0.000000,0.000460,0,46,0.000000,0.000460,0,1,0.000000,0.000010
